"","type","fatalities","injuries","total"
"352","HIGH SURF ADVISORY",0,0,0
"354","HIGH TEMPERATURE RECORD",0,0,0
"355","HIGH TIDES",0,0,0
"358","High Wind",0,0,0
"360","HIGH WIND (G40)",0,0,0
"362","HIGH WIND 63",0,0,0
"363","HIGH WIND 70",0,0,0
"364","HIGH WIND AND HEAVY SNOW",0,0,0
"365","HIGH WIND AND HIGH TIDES",0,0,0
"367","HIGH WIND DAMAGE",0,0,0
"368","HIGH WIND/ BLIZZARD",0,0,0
"369","HIGH WIND/BLIZZARD",0,0,0
"370","HIGH WIND/BLIZZARD/FREEZING RA",0,0,0
"372","HIGH WIND/LOW WIND CHILL",0,0,0
"374","HIGH WIND/WIND CHILL",0,0,0
"375","HIGH WIND/WIND CHILL/BLIZZARD",0,0,0
"377","HIGH WINDS 55",0,0,0
"378","HIGH WINDS 57",0,0,0
"379","HIGH WINDS 58",0,0,0
"380","HIGH WINDS 63",0,0,0
"381","HIGH WINDS 66",0,0,0
"382","HIGH WINDS 67",0,0,0
"383","HIGH WINDS 73",0,0,0
"384","HIGH WINDS 76",0,0,0
"385","HIGH WINDS 80",0,0,0
"386","HIGH WINDS 82",0,0,0
"387","HIGH WINDS AND WIND CHILL",0,0,0
"388","HIGH WINDS DUST STORM",0,0,0
"389","HIGH WINDS HEAVY RAINS",0,0,0
"390","HIGH WINDS/",0,0,0
"391","HIGH WINDS/COASTAL FLOOD",0,0,0
"393","HIGH WINDS/FLOODING",0,0,0
"394","HIGH WINDS/HEAVY RAIN",0,0,0
"396","HIGHWAY FLOODING",0,0,0
"397","Hot and Dry",0,0,0
"398","HOT PATTERN",0,0,0
"399","HOT SPELL",0,0,0
"400","HOT WEATHER",0,0,0
"401","HOT/DRY PATTERN",0,0,0
"408","HURRICANE GORDON",0,0,0
"412","HVY RAIN",0,0,0
"418","ICE AND SNOW",0,0,0
"419","ICE FLOES",0,0,0
"420","Ice Fog",0,0,0
"421","ICE JAM",0,0,0
"422","Ice jam flood (minor",0,0,0
"423","ICE JAM FLOODING",0,0,0
"425","ICE PELLETS",0,0,0
"428","ICE STORM AND SNOW",0,0,0
"430","Ice/Snow",0,0,0
"431","ICE/SNOW",0,0,0
"432","ICE/STRONG WINDS",0,0,0
"433","Icestorm/Blizzard",0,0,0
"434","Icy Roads",0,0,0
"436","LACK OF SNOW",0,0,0
"437","LAKE-EFFECT SNOW",0,0,0
"438","Lake Effect Snow",0,0,0
"439","LAKE EFFECT SNOW",0,0,0
"440","LAKE FLOOD",0,0,0
"441","LAKESHORE FLOOD",0,0,0
"443","LANDSLIDE/URBAN FLOOD",0,0,0
"445","Landslump",0,0,0
"446","LANDSLUMP",0,0,0
"447","LANDSPOUT",0,0,0
"448","LARGE WALL CLOUD",0,0,0
"449","Late-season Snowfall",0,0,0
"450","LATE FREEZE",0,0,0
"451","LATE SEASON HAIL",0,0,0
"452","LATE SEASON SNOW",0,0,0
"453","Late Season Snowfall",0,0,0
"454","LATE SNOW",0,0,0
"455","LIGHT FREEZING RAIN",0,0,0
"456","Light snow",0,0,0
"457","Light Snow",0,0,0
"459","LIGHT SNOW AND SLEET",0,0,0
